,Especificação,Classe,Tipo
010005,Aceleradores de vulcanização,1,p
010565,Acetato de alumínio *,1,p
010064,Acetato de amido,1,p
010171,Acetato de cálcio,1,p
010008,"Acetato de celulose, não processado",1,p
010440,Acetato de chumbo,1,p
010007,Acetatos [produtos químicos],1,p
010012,Acetileno,1,p
010011,Acetona,1,p
010070,Ácido antranílico,1,p
010085,Ácido arsenioso,1,p
010112,Ácido benzóico,1,p
010135,Ácido bórico para uso industrial,1,p
010150,Ácido carbônico,1,p
010199,Ácido cítrico para uso industrial,1,p
010186,Ácido cólico,1,p
010191,Ácido crômico,1,p
010497,Ácido esteárico,1,p
010304,Ácido fluorídrico,1,p
010310,Ácido fórmico,1,p
010433,Ácido fosfórico,1,p
010320,Ácido gálico para manufatura de tinta,1,p
010323,Ácido galotânico,1,p
010683,Ácido glutâmico para fins industriais,1,p
010185,Ácido hidroclorídrico,1,p
010367,Ácido iódico,1,p
010373,Ácido láctico,1,p
010095,Ácido nítrico,1,p
010407,Ácido oléico,1,p
010412,Ácido oxálico,1,p
010425,Ácido persulfúrico,1,p
010437,Ácido pícrico,1,p
010453,Ácido pirogálico,1,p
010133,Vinagre de madeira [ácido pirolenhoso],1,p
010468,Ácido salicílico,1,p
010474,Ácido sebácico,1,p
010503,Ácido sulfúrico,1,p
010502,Ácido sulfuroso,1,p
010511,Ácido tânico,1,p
010515,Ácido tartárico,1,p
010541,Ácido túngstico,1,p
010014,Ácidos *,1,p
010110,Ácidos à base de benzeno,1,p
010340,Ácidos graxos,1,p
010396,Ácidos minerais,1,p
010501,Ácidos sulfônicos,1,p
010018,Actínio,1,p
010021,Aditivos detergentes para gasolina,1,p
010020,Aditivos químicos para combustível,1,p
010309,Aditivos químicos para fungicidas,1,p
010308,Aditivos químicos para inseticidas,1,p
010019,Aditivos químicos para lamas de perfuração,1,p
010654,Aditivos químicos para óleos,1,p
010690,"Adjuvantes, exceto para fins médicos ou veterinários",1,p
010607,Adoçantes artificiais [preparações químicas],1,p
010622,Adubo composto,1,p
010104,Adubo orgânico de bário,1,p
010094,Fertilizantes nitrogenados,1,p
010029,Ágar-ágar para uso industrial,1,p
010205,Agentes de colagem para vinho,1,p
010056,Agentes químicos para fluidificar amido [agentes de descolagem],1,p
010121,Agentes para clarificação e conservação de cerveja,1,p
010619,Agentes para conservação de cerveja,1,p
010518,Agentes tensoativos,1,p
010027,Agentes redutores para uso em fotografia,1,p
010030,Aglutinantes para concreto,1,p
010306,Aglutinantes para fundição,1,p
010251,Água acidulada para recarga de baterias,1,p
010247,Água destilada,1,p
010636,Água do mar para uso industrial,1,p
010414,Peróxido de hidrogênio para uso industrial,1,p
010253,Água pesada,1,p
010448,Água potássica,1,p
010033,"Albumina [animal ou vegetal, matéria-prima]",1,p
010069,Albumina animal [matéria-prima],1,p
010035,Albumina de malte,1,p
010034,Albumina Iodada,1,p
010038,Álcali cáustico,1,p
010558,Amoníaco [álcali volátil] para uso industrial,1,p
010037,Álcalis,1,p
010562,Alcaloides *,1,p
010040,Álcool *,1,p
010065,Álcool de amido,1,p
010041,Álcool etílico,1,p
010131,Álcool metílico [metanol],1,p
010547,Álcool vínico,1,p
010220,Aldeído crotônico,1,p
010062,Aldeído de amônio,1,p
010042,Aldeídos *,1,p
010043,Algas [fertilizantes],1,p
010669,Alginato para indústria de alimentos,1,p
010564,Alginatos para uso industrial,1,p
010047,Alume de alumínio,1,p
010052,Alúmen,1,p
010063,Alúmen de amoníaco,1,p
010188,Alúmen de cromo,1,p
010046,Alumina,1,p
010054,Amerício,1,p
010055,Amido para uso industrial,1,p
010061,Amoníaco *,1,p
010066,Amoníaco anídrico,1,p
010010,Anidrido acético,1,p
010067,Anidridos,1,p
010072,Anticongelante,1,p
010073,Anti-incrustantes,1,p
010074,Antimônio,1,p
010693,Antioxidantes para uso em fabricação,1,p
010694,Antioxidantes para uso na fabricação de cosméticos,1,p
010695,Antioxidantes para uso na fabricação de produtos farmacêuticos,1,p
010696,Antioxidantes para uso na fabricação de suplementos alimentares,1,p
010467,Areia de fundição,1,p
010652,Argila expandida para cultura hidropônica [substrato],1,p
010082,Argônio,1,p
010083,Arseniato de chumbo,1,p
010084,Arsênico,1,p
010086,Astatino,1,p
010096,Bactericidas para enologia [preparações químicas usadas durante a fabricação de vinho],1,p
010343,Bálsamo de gurjun para fabricação de verniz,1,p
010208,"Banhos [molhos] para amaciar peles, exceto óleos",1,p
010098,Banhos de galvanização,1,p
010099,Banhos de viragem [fotografia],1,p
010097,Banhos fixadores [fotografia],1,p
010101,Bário,1,p
010102,Barita,1,p
010495,Baritina,1,p
010106,Bases [Preparações químicas],1,p
010108,Bauxita,1,p
010109,Bentonita,1,p
010713,Benzeno,1,p
010714,Benzol,1,p
010576,Benzol metílico,1,p
010115,Berquélio,1,p
010578,Bicarbonato de sódio para uso químico,1,p
010118,Bicloreto de estanho,1,p
010119,Bicromato de potássio,1,p
010120,Bicromato de sódio,1,p
010720,Bioestimulantes para plantas,1,p
010125,Bismuto,1,p
010134,Bórax,1,p
010585,Bromo para uso químico,1,p
010140,Cainite,1,p
010142,Califórnio,1,p
010709,Calomelo [cloreto de mercúrio],1,p
010638,Cânfora para uso industrial,1,p
010172,Carbonato de cálcio,1,p
010147,Carbonato de magnésio,1,p
010146,Carbonatos,1,p
010151,Carbonetos [carbetos],1,p
010152,Carbureto de cálcio [carbeto de cálcio],1,p
010689,Carboneto [carbeto] de silício [material em bruto],1,p
010586,Carbonila para proteção de plantas,1,p
010148,Carbono,1,p
010568,Carbono animal,1,p
010068,Carvão animal [negro animal],1,p
010025,Carvão ativado,1,p
010167,Carvão de ossos,1,p
010168,Carvão de sangue,1,p
010166,Carvão para filtros,1,p
010507,Casca de árvore para curtume [matéria tanante],1,p
010385,Casca de mangue para uso industrial,1,p
010677,Caseína para indústria de alimentos,1,p
010591,Caseína para uso industrial,1,p
010153,Lutécio [cassiopeio],1,p
010154,Catalisadores,1,p
010122,Catalisadores bioquímicos,1,p
010139,Cauchu,1,p
010370,Caulino,1,p
010489,Cáusticos para uso industrial,1,p
010657,"Células tronco, exceto para uso médico ou veterinário",1,p
010155,Celulose,1,p
010198,Cera para enxertar árvores,1,p
010161,Cério,1,p
010163,Césio,1,p
010164,Cetonas,1,p
010292,Chapas ferrotípicas [fotografia],1,p
010213,Chapas fotossensíveis,1,p
010269,Chapas fotográficas sensibilizadas,1,p
010406,Chapas sensibilizadas para impressão em ofsete,1,p
010141,Cianamida cálcica [fertilizante],1,p
010228,Prussiatos,1,p
010230,Cimeno,1,p
010158,Cimento [metalurgia],1,p
010194,Cimento para consertar objetos quebrados,1,p
010182,Cloratos,1,p
010050,Cloreto de alumínio,1,p
010173,Cloreto de cálcio,1,p
010383,Cloreto de magnésio,1,p
010554,Cloretos,1,p
010415,Cloreto de paládio,1,p
010184,Cloridratos,1,p
010183,Cloro,1,p
010641,Coberturas de húmus,1,p
010202,Cola para acabamento,1,p
010600,Cola para uso industrial,1,p
010688,Colágeno para fins industriais,1,p
010222,Colas para couro,1,p
010206,Colódio *,1,p
010001,Comburentes [aditivos químicos para combustível],1,p
010087,Combustíveis para reatores nucleares,1,p
010646,Composições de cerâmica para sinterização [grânulos e pós],1,p
010288,Composições extintoras de fogo,1,p
010603,Composições para a fabricação de discos fonográficos,1,p
010295,Composições para fiar,1,p
010631,Composições para manufatura de cerâmicas técnicas,1,p
010032,Composições para reparar câmaras-de-ar de pneus,1,p
010465,Composições para reparos de pneus,1,p
010016,Composições químicas à prova de ácidos,1,p
010303,Compostos de espatoflúor,1,p
010686,Compostos orgânicos [fertilizantes],1,p
010540,"Conservantes para telhas, exceto tintas e óleos",1,p
010667,Creme de tártaro para a indústria de alimentos,1,p
010668,Creme de tártaro para uso industrial,1,p
010219,Creme de tártaro para uso químico,1,p
010602,Creosoto para uso químico,1,p
010372,Criptônio,1,p
010187,Cromato,1,p
010658,"Cultura de tecido biológico, exceto para uso médico ou veterinário",1,p
010596,"Culturas de microrganismos, exceto para uso medicinal ou veterinário",1,p
010226,Cúrio,1,p
010111,Derivados de benzeno,1,p
010592,Derivados de celulose [substâncias químicas],1,p
010236,Desfolhantes,1,p
010240,Desincrustantes,1,p
010241,Detergentes para uso em processos de manufatura,1,p
010242,Dextrina [acabamento],1,p
010244,Diástase para uso industrial,1,p
010123,Dioxalato de potássio,1,p
010124,Dióxido de manganês,1,p
010536,Dióxido de titânio para uso industrial,1,p
010352,Dispersantes para óleo,1,p
010351,Dispersantes para petróleo,1,p
010605,Dispersões de matérias plásticas,1,p
010250,Disprósio,1,p
010149,Dissulfeto de carbono,1,p
010248,Dolomita para uso industrial,1,p
