,Especificação,Classe,Tipo
auxprod6_1_21_0,Abacá [fibra têxtil],22,p
auxprod6_1_21_1,Abacate fresco,31,p
auxprod6_1_21_2,Abacaxi fresco,31,p
auxprod6_1_21_3,Ábaco de brinquedo,28,p
auxprod6_1_21_4,Abóbada de fornalha industrial,11,p
auxprod6_1_21_5,Abraçadeira de fixação [ferragem],6,p
auxprod6_1_21_6,Abrasivo [tecido],3,p
auxprod6_1_21_7,Abridor de boca [instrumento odontológico],10,p
auxprod6_1_21_8,Abridor de caixa não elétrico [ferramenta],8,p
auxprod6_1_21_9,Abridor de carta não elétrico,16,p
auxprod6_1_21_10,Abrigo pré-fabricado não metálico,19,p
auxprod6_1_21_11,Abrina [insumo farmacêutico],1,p
auxprod6_1_21_12,Absinto [bebida alcoólica],33,p
auxprod6_1_21_13,Absinto [erva in natura],31,p
auxprod6_1_21_14,Absinto [insumo industrial],1,p
auxprod6_1_21_15,Absorvente para incontinência urinária,5,p
auxprod6_1_21_16,Absorvente para uso pós-operatório,5,p
auxprod6_1_21_17,Absorvente para uso pós-parto,5,p
auxprod6_1_21_18,Acarajé,30,p
auxprod6_1_21_19,Acelerador linear de elétron,9,p
auxprod6_1_21_20,Acelerador químico,1,p
auxprod6_1_21_21,Acelga fresca,31,p
auxprod6_1_21_22,Acendalha [material de estopim para conseguir fogo],4,p
auxprod6_1_21_23,Acendedor para fogão elétrico,11,p
auxprod6_1_21_24,Acendedor para fogão não elétrico,11,p
auxprod6_1_21_25,Acendedor para máquina de explosão,11,p
auxprod6_1_21_26,Acetato [fibra têxtil],22,p
auxprod6_1_21_27,Acetato de policloreto de vinila [PVC] para indústria,1,p
auxprod6_1_21_28,Acetificador [aparelho],11,p
auxprod6_1_21_29,Acetona para uso industrial,1,p
auxprod6_1_21_30,Acetona [removedor de esmalte de unhas],3,p
auxprod6_1_21_31,Achocolatado em pó para bebida [preparações para fazer bebidas],32,p
auxprod6_1_21_32,Ácido ascórbico para alimentos,1,p
auxprod6_1_21_33,Ácido clorídrico,1,p
auxprod6_1_21_34,Ácido muriático [ácido clorídrico na forma impura],1,p
auxprod6_1_21_35,Ácido para conservação de fruta ou legume,1,p
auxprod6_1_21_36,Ácido propiônico para alimentos,1,p
auxprod6_1_21_37,Ácido sórbico para alimentos,1,p
auxprod6_1_21_38,Ácidos para conservação de alimentos,1,p
auxprod6_1_21_39,Aço,6,p
auxprod6_1_21_40,Aço de cadinho,6,p
auxprod6_1_21_41,Aço doce [ferro doce],6,p
auxprod6_1_21_42,Aço estirado,6,p
auxprod6_1_21_43,Aço galvanizado,6,p
auxprod6_1_21_44,Aço laminado,6,p
auxprod6_1_21_45,Aço não plano,6,p
auxprod6_1_21_46,Aço para cimentação,6,p
auxprod6_1_21_47,Aço para trilho,6,p
auxprod6_1_21_48,Aço plano,6,p
auxprod6_1_21_49,Aço rápido,6,p
auxprod6_1_21_50,Aço soldado,6,p
auxprod6_1_21_51,Acolchoado [roupa de cama],24,p
auxprod6_1_21_52,Acolchoado para muleta,10,p
auxprod6_1_21_53,Acolchoado de piso para prática de esporte,20,p
auxprod6_1_21_54,Acolchoado usado como cobertura para cama,24,p
auxprod6_1_21_55,Acolchoado usado como protetor para berço [almofada],20,p
auxprod6_1_21_56,Açúcar de fécula,30,p
auxprod6_1_21_57,Açúcar líquido,30,p
auxprod6_1_21_58,Adereço adesivo para aplicação em roupa,26,p
auxprod6_1_21_59,Adesivo de uso médico para cicatrização,5,p
auxprod6_1_21_60,Adesivo natural para uso industrial,1,p
auxprod6_1_21_61,Adesivo odontológico,5,p
auxprod6_1_21_62,Adesivo para aplicação em roupa quente ou frio,26,p
auxprod6_1_21_63,Adesivo para chapisco,1,p
auxprod6_1_21_64,Adesivo para junta de motor,17,p
auxprod6_1_21_65,Adesivo para limpar roupa,3,p
auxprod6_1_21_66,Adesivo para reparar produto partido,1,p
auxprod6_1_21_67,Aditivo biotecnológico para aumentar a resistência da celulose e do papel,1,p
