,Especificação,Classe,Tipo
350096,Administração comercial do licenciamento de produtos e serviços de terceiros,35,s
350105,Administração de negócios de esportistas,35,s
350124,Administração de negócios de programas de reembolso para terceiros,35,s
350131,Administração de programas de fidelidade de consumidores,35,s
350128,Administração de programas de viajantes frequentes,35,s
350079,Agenciamento de artistas,35,s
350049,Agências de modelos para publicidade ou promoção de vendas,35,s
350125,Aluguel de cartazes/outdoors publicitários,35,s
350158,Aluguel de equipamento de escritório em espaços de co-working,35,s
350070,Aluguel de espaço publicitário,35,s
350109,Aluguel de estande de vendas,35,s
350089,Aluguel de máquinas de autosserviço,35,s
350013,Aluguel de máquinas e equipamentos de escritório *,35,s
350083,Aluguel de máquinas fotocopiadoras,35,s
350035,Aluguel de material publicitário,35,s
350087,Aluguel de tempo de publicidade em meios de comunicação,35,s
350007,Análise de custo,35,s
350092,Apresentação de produtos em meios de comunicação para fins de comércio varejista,35,s
350025,Assessoria em gestão industrial ou comercial,35,s
350154,Assistência administrativa para responder a solicitações de propostas [RFP] de prestação de serviços,35,s
350027,Atualização de material publicitário,35,s
350117,Atualização e manutenção de dados em bancos de dados de computadores,35,s
350134,Atualização e manutenção de informações em registros,35,s
350144,Auditoria contábil e financeira,35,s
350017,Auditoria em negócios,35,s
350001,Auxílio em gestão de negócios,35,s
350032,Avaliações de negócios,35,s
350086,Busca de dados em arquivos de computador para terceiros,35,s
350102,Captação de patrocínio,35,s
350040,Publicidade de rádio,35,s
350044,Publicidade de televisão,35,s
350163,Comércio de produtos de panificação,35,s
350148,"Comércio, no atacado, de preparações sanitárias, farmacêuticas e veterinárias e de suprimentos médicos",35,s
350153,"Comércio, no varejo, de obras de artes fornecidas por galerias de arte",35,s
350108,"Comércio, no varejo, de preparações sanitárias, farmacêuticas e veterinárias e de suprimentos médicos",35,s
350147,"Comércio on-line, no varejo,  de filmes e músicas pré-gravados e para download",35,s
350145,"Comércio on-line, no varejo, de música digital baixável",35,s
350146,"Comércio on-line, no varejo, de toques de telefone baixáveis",35,s
350091,Comparação de Preços,35,s
350135,Compilação de índices de informações para fins comerciais ou publicitários,35,s
350080,Compilação de informação em bancos de dados de computador,35,s
350100,Compilações de estatísticas,35,s
350020,Consultoria em gestão de negócios,35,s
350019,Consultoria em gestão de pessoal,35,s
350018,Consultoria em gestão e organização de negócios,35,s
350036,Consultoria em organização de negócios,35,s
350062,Consultoria profissional em negócios,35,s
350139,Consultoria referente a estratégias de comunicação em publicidade,35,s
350138,Consultoria referente a estratégias de comunicação em relações públicas,35,s
350015,Guarda-livro [contabilidade],35,s
350046,Decoração de vitrines,35,s
350023,Demonstração de produtos,35,s
350121,Desenvolvimento de conceitos de campanha publicitária,35,s
350164,Determinação de perfis [profiling] de consumidores para fins comerciais ou de marketing,35,s
350022,Digitação,35,s
350028,Distribuição de amostras,35,s
