,Especificação,Classe,Tipo
auxserv_6_1_21_0,"Abastecimento de água, captação e fornecimento de água tratada",39,s
auxserv_6_1_21_1,Abastecimento de veículos,37,s
auxserv_6_1_21_2,Academia de dança,41,s
auxserv_6_1_21_3,Academia de tênis,41,s
auxserv_6_1_21_4,Acompanhamento de conta,36,s
auxserv_6_1_21_5,Aconselhamento esotérico,45,s
auxserv_6_1_21_6,Aconselhamento relativo a receitas culinárias,43,s
auxserv_6_1_21_7,"Adaptação de balão, míssil e aeronave para fim meteorológico, exceto sua manutenção",42,s
auxserv_6_1_21_8,"Adequação de ambiente à norma relacionada à insalubridade [implementação de norma e procedimento relativo à 
segurança do trabalho]",45,s
auxserv_6_1_21_9,Adestramento de animal,41,s
auxserv_6_1_21_10,Administração comercial,35,s
auxserv_6_1_21_11,Administração comercial de shopping center,35,s
auxserv_6_1_21_12,Administração de arquivo,35,s
auxserv_6_1_21_13,Administração de biblioteca,35,s
auxserv_6_1_21_14,Administração de cartão de afinidade [serviço de crédito],36,s
auxserv_6_1_21_15,Administração de cartão de benefícios comerciais [promoção de negócios],35,s
auxserv_6_1_21_16,Administração de cartão de crédito,36,s
auxserv_6_1_21_17,Administração de cartão de débito,36,s
auxserv_6_1_21_18,Administração de cartão de desconto,35,s
auxserv_6_1_21_19,Administração de carteira de valor mobiliário,36,s
auxserv_6_1_21_20,Administração de carteira locatícia,36,s
auxserv_6_1_21_21,Administração de cemitério,36,s
auxserv_6_1_21_22,Administração de condomínio,36,s
auxserv_6_1_21_23,Administração de consórcio,36,s
auxserv_6_1_21_24,Administração de convênio médico-hospitalar,36,s
auxserv_6_1_21_25,Administração de empresa,35,s
auxserv_6_1_21_26,Administração de fundo de investimento,36,s
auxserv_6_1_21_27,Administração de holding [tipo de empresa],35,s
auxserv_6_1_21_28,Administração de pecúlio,36,s
auxserv_6_1_21_29,Administração de programa de incentivo,35,s
auxserv_6_1_21_30,Administração de rodovia,39,s
auxserv_6_1_21_31,Administração de seguro,36,s
auxserv_6_1_21_32,Administração de seguro-saúde,36,s
auxserv_6_1_21_33,Administração de vale refeição,36,s
auxserv_6_1_21_34,Administração de vale transporte,36,s
auxserv_6_1_21_35,Aerofotogrametria,42,s
auxserv_6_1_21_36,Agência de modelos para artistas [modelos vivos],41,s
auxserv_6_1_21_37,Agência de notícias/jornalismo [elaboração de reportagens fotográficas ou não],41,s
auxserv_6_1_21_38,Agência de notícias/jornalismo [transmissão/difusão de informações],38,s
auxserv_6_1_21_39,"Agência de viagem, exceto reserva de hotel",39,s
auxserv_6_1_21_40,Agência fotográfica,41,s
auxserv_6_1_21_41,Agência reguladora,42,s
auxserv_6_1_21_42,Agenciamento de mão-de-obra,35,s
auxserv_6_1_21_43,Agenciamento de mercadoria [intermediação],35,s
auxserv_6_1_21_44,Agenciamento de modelo para publicidade [administração de carreira],35,s
auxserv_6_1_21_45,Agenciamento de navio,39,s
auxserv_6_1_21_46,Agenciamento de profissional para atendimento domiciliar,35,s
auxserv_6_1_21_47,Agenciamento de veículo de carga e de reboque,39,s
auxserv_6_1_21_48,"Agenciamento, gestão e intermediação de obra artística",35,s
auxserv_6_1_21_49,Agente artístico; literário e cultural [promotor de evento],41,s
auxserv_6_1_21_50,Agente autônomo de investimento,36,s
auxserv_6_1_21_51,Agente da propriedade industrial,45,s
auxserv_6_1_21_52,Agente de viagem,39,s
auxserv_6_1_21_53,Agrimensura [medição de terras agrícolas],42,s
auxserv_6_1_21_54,Albergue,43,s
auxserv_6_1_21_55,Alimentação natural e macrobiótica [serviços de fornecimento de comida e bebida],43,s
auxserv_6_1_21_56,Alojamento para animal [acomodações temporárias],43,s
auxserv_6_1_21_57,Aluguel de aparelhos e equipamentos de uso em barbearia e salões de beleza,44,s
auxserv_6_1_21_58,Aluguel de armários para vestiários para escolas/academias,41,s
auxserv_6_1_21_59,Aluguel de bebedouros,43,s
auxserv_6_1_21_60,Aluguel de caixas postais eletrônicas para e-mail,38,s
auxserv_6_1_21_61,Aluguel de compressores,37,s
auxserv_6_1_21_62,Aluguel de equipamento de lazer,41,s
auxserv_6_1_21_63,Aluguel de escritório virtual [aluguel de equipamentos e material de escritório e fornecimento de serviços de escritório],35,s
auxserv_6_1_21_64,Aluguel de escritório virtual [aluguel de imóvel comercial],36,s
auxserv_6_1_21_65,"Aluguel de espaços para exposições, conferências e espetáculos",41,s
auxserv_6_1_21_66,Aluguel de ferramentas pneumáticas,37,s
auxserv_6_1_21_67,Aluguel de loja [imóvel],36,s
auxserv_6_1_21_68,Aluguel de máquina para limpeza,37,s
auxserv_6_1_21_69,Aluguel de material para trilha e acampamento,41,s
auxserv_6_1_21_70,Aluguel de mictório,44,s
auxserv_6_1_21_71,Aluguel de prancha de surf,41,s
auxserv_6_1_21_72,Aluguel de salão de festas,41,s
auxserv_6_1_21_73,Aluguel de tempo de acesso a banco de dados,42,s
auxserv_6_1_21_74,Ambulância para animal [transporte],39,s
auxserv_6_1_21_75,"Análise de conteúdo de jornais e revistas e preparo de relatório comparando o conteúdo dos diversos veículos de 
comunicação",35,s
auxserv_6_1_21_76,Análise de material,42,s
auxserv_6_1_21_77,Análise de solo,42,s
auxserv_6_1_21_78,Análise de suporte e sistema [serviço de informática],42,s
auxserv_6_1_21_79,Análise e gestão de crédito,36,s
auxserv_6_1_21_80,Análise e processamento de dados [serviço de informática],42,s
auxserv_6_1_21_81,Análise e prognóstico nutricional,44,s
auxserv_6_1_21_82,Análise farmacêutica,44,s
auxserv_6_1_21_83,Análise para exploração de jazida,42,s
auxserv_6_1_21_84,Animação de festa,41,s
auxserv_6_1_21_85,Antropologia [estudo e pesquisa],42,s
auxserv_6_1_21_86,Anúncio,35,s
auxserv_6_1_21_87,"Aperfeiçoamento de equipamento automotivo [instalação, manutenção, reparo][tuning]",37,s
auxserv_6_1_21_88,Aplicação de estaca tipo mega para eliminação de rachadura e trinca em prédio urbano e rural,37,s
auxserv_6_1_21_89,Aplicação de tinta e impermeabilizante,37,s
auxserv_6_1_21_90,"Apoio à exploração, perfuração, produção de petróleo e gás",42,s
auxserv_6_1_21_91,Apoio administrativo e secretariado,35,s
auxserv_6_1_21_92,Apresentação de canto,41,s
auxserv_6_1_21_93,Apresentação de capoeira [esporte],41,s
auxserv_6_1_21_94,Apresentação de espetáculos ao vivo de chorinho [música],41,s
auxserv_6_1_21_95,Apresentação de espetáculos ao vivo de grupo carnavalesco,41,s
auxserv_6_1_21_96,Apresentação de espetáculos ao vivo de samba [dança],41,s
auxserv_6_1_21_97,Apresentação de espetáculos ao vivo de samba [música],41,s
auxserv_6_1_21_98,Aqüicultura,44,s
auxserv_6_1_21_99,Arbitragem esportiva,41,s
auxserv_6_1_21_100,Armazenagem de células humanas para fins de estudos científicos,42,s
auxserv_6_1_21_101,Armazenagem de células humanas para fins médicos,44,s
