,Denominaçao,Seçao,Divisão,Grupo
01.11-3,cultivo de cereais,A,01,01.1
01.12-1,cultivo de algodão herbáceo e de outras fibras de lavoura temporária,A,01,01.1
01.13-0,cultivo de cana-de-açúcar,A,01,01.1
01.14-8,cultivo de fumo,A,01,01.1
01.15-6,cultivo de soja,A,01,01.1
01.16-4,"cultivo de oleaginosas de lavoura temporária, exceto soja",A,01,01.1
01.19-9,cultivo de plantas de lavoura temporária não especificadas anteriormente,A,01,01.1
01.21-1,horticultura,A,01,01.2
01.22-9,cultivo de flores e plantas ornamentais,A,01,01.2
01.31-8,cultivo de laranja,A,01,01.3
01.32-6,cultivo de uva,A,01,01.3
01.33-4,"cultivo de frutas de lavoura permanente, exceto laranja e uva",A,01,01.3
01.34-2,cultivo de café,A,01,01.3
01.35-1,cultivo de cacau,A,01,01.3
01.39-3,cultivo de plantas de lavoura permanente não especificadas anteriormente,A,01,01.3
01.41-5,produção de sementes certificadas,A,01,01.4
01.42-3,"produção de mudas e outras formas de propagação vegetal, certificadas",A,01,01.4
01.51-2,criação de bovinos,A,01,01.5
01.52-1,criação de outros animais de grande porte,A,01,01.5
01.53-9,criação de caprinos e ovinos,A,01,01.5
01.54-7,criação de suínos,A,01,01.5
01.55-5,criação de aves,A,01,01.5
01.59-8,criação de animais não especificados anteriormente,A,01,01.5
01.61-0,atividades de apoio à agricultura,A,01,01.6
01.62-8,atividades de apoio à pecuária,A,01,01.6
01.63-6,atividades de pós-colheita,A,01,01.6
01.70-9,caça e serviços relacionados,A,01,01.7
02.10-1,produção florestal - florestas plantadas,A,02,02.1
02.20-9,produção florestal - florestas nativas,A,02,02.2
02.30-6,atividades de apoio à produção florestal,A,02,02.3
03.11-6,pesca em água salgada,A,03,03.1
03.12-4,pesca em água doce,A,03,03.1
03.21-3,aqüicultura em água salgada e salobra,A,03,03.2
03.22-1,aqüicultura em água doce,A,03,03.2
05.00-3,extração de carvão mineral,B,05,05.0
